ProductId,CoPurchaseProductId
1,2
1,5
1,8
1,10
1,11
1,13
1,16
1,17
1,18
1,19
1,21
1,23
1,24
1,28
1,29
1,30
1,31
1,34
1,35
1,36
1,37
1,39
1,40
1,42
1,43
1,44
1,45
1,50
1,52
1,53
1,54
1,56
1,58
1,59
1,60
1,62
1,64
1,67
1,68
1,69
1,71
1,74
1,75
1,76
1,77
2,1
2,3
2,4
2,5
2,6
2,7
2,8
2,10
2,11
2,12
2,13
2,14
2,16
2,17
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,29
2,30
2,31
2,32
2,33
2,36
2,39
2,40
2,41
2,42
2,44
2,46
2,47
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,70
2,72
2,73
2,74
2,75
2,76
2,77
3,2
3,4
3,6
3,7
3,8
3,10
3,12
3,13
3,14
3,16
3,20
3,23
3,26
3,29
3,32
3,38
3,39
3,41
3,46
3,52
3,54
3,55
3,59
3,60
3,64
3,66
3,68
3,70
3,72
3,73
3,75
3,76
3,77
4,2
4,3
4,5
4,6
4,7
4,8
4,10
4,11
4,12
4,13
4,14
4,16
4,17
4,20
4,22
4,23
4,24
4,32
4,33
4,36
4,39
4,41
4,42
4,43
4,46
4,48
4,52
4,54
4,55
4,56
4,57
4,58
4,60
4,62
4,64
4,66
4,70
4,71
4,72
4,73
4,74
4,75
4,77
5,1
5,2
5,4
5,7
5,9
5,18
5,22
5,29
5,32
5,33
5,36
5,49
5,56
5,59
5,72
5,74
5,77
6,2
6,3
6,4
6,7
6,8
6,10
6,11
6,12
6,13
6,14
6,16
6,17
6,19
6,20
6,23
6,28
6,30
6,31
6,32
6,39
6,41
6,42
6,43
6,46
6,52
6,55
6,56
6,60
6,62
6,64
6,66
6,68
6,71
6,72
6,73
6,75
6,76
6,77
7,2
7,3
7,4
7,5
7,6
7,8
7,10
7,12
7,13
7,14
7,16
7,17
7,18
7,20
7,22
7,23
7,24
7,27
7,31
7,32
7,33
7,35
7,39
